X,Y,Z
700296.782466,9312357.981718,0.000000,6
700298.224489,9312381.883110,0.000000,6
700291.739312,9312410.329718,0.000000,6
700290.054532,9312407.872553,0.000000,6
700292.255889,9312391.774660,0.000000,6
700273.929389,9312356.022243,0.000000,6
700278.337889,9312344.411910,0.000000,6
700275.356639,9312348.960410,0.000000,6
700219.032889,9312427.453077,0.000000,6
700221.522889,9312390.273410,0.000000,6
700230.788326,9312401.509597,0.000000,12030
700214.983222,9312419.174910,0.000000,6
700218.726543,9312409.729179,0.000000,6
700215.371389,9312427.467243,0.000000,6
700219.234222,9312438.129243,0.000000,5
700214.115675,9312443.285696,0.000000,5
700187.394722,9312426.543943,0.000000,4
700188.910189,9312434.289343,0.000000,4
700185.865389,9312427.483910,0.000000,4
700303.962818,9312326.648267,0.000000,6
700303.863289,9312327.876510,0.000000,6
700250.706056,9312324.634410,0.000000,6
700272.254889,9312315.948077,0.000000,6
700257.715103,9312317.600124,0.000000,6
700266.049514,9312319.463660,0.000000,6
700270.453722,9312292.424577,0.000000,6
700288.947556,9312287.023410,0.000000,12030
700282.984789,9312285.094510,0.000000,12030
700191.509722,9312331.678743,0.000000,6
700165.528289,9312331.074510,0.000000,3
700135.259514,9312363.246410,0.000000,3
700151.237044,9312317.531797,0.000000,3
700131.802972,9312365.369521,0.000000,3
700131.564713,9312365.339322,0.000000,3
700220.723689,9312385.649310,0.000000,6
700274.391264,9312350.895535,0.000000,6
700250.836389,9312354.276743,0.000000,6
700269.282222,9312333.082743,0.000000,6
700278.945889,9312336.492077,0.000000,6
700269.002559,9312332.706390,0.000000,6
700243.158289,9312174.308310,0.000000,8
700173.011389,9312206.047077,0.000000,86
700156.219889,9312231.512577,0.000000,87
700167.795889,9312218.590410,0.000000,87
700164.705246,9312224.281553,0.000000,87
700281.742056,9312187.263243,0.000000,7
700194.468889,9312524.236743,0.000000,23
700131.434207,9312613.691774,0.000000,41
700125.720222,9312600.417243,0.000000,41
700130.289556,9312613.096410,0.000000,41
700148.421103,9312593.306839,0.000000,21
700142.093565,9312591.145234,0.000000,21
